system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,cat,com_set1,com_set2,fid,finHarvDat,id,lab_set1,lab_set2,lat,lon,rd_id,set,strata,val_set1,x,y,.geo
000000000000000001c2_0,0,540.0,720.0,1017.0,1683.0,65535.0,580.0,782.0,1104.0,1640.0,65535.0,459,,,459.0,,458,Blake,No double yet,46.3037353387521,34.8987840186964,369,occ_ukraine,21,0.0,375804.0,156768.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.89887505158032,46.30361640417653]}"
000000000000000001c3_0,0,542.0,733.0,1052.0,2417.0,65535.0,532.0,826.0,1154.0,2586.0,65535.0,302,,,302.0,,301,Blake,No double yet,49.2182654670972,37.8173896893384,371,occ_ukraine,20,0.0,567960.0,497676.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.817501409684645,49.21820034350232]}"
000000000000000001dd_0,0,456.0,723.0,727.0,2874.0,65535.0,446.0,669.0,721.0,2593.0,65535.0,270,Fallow,,270.0,,269,Yuval,No double yet,48.4657410058161,38.9522075060876,422,occ_ukraine,20,0.0,659304.0,422856.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.95225327658442,48.465681629995395]}"
000000000000000001fc_0,0,347.0,618.0,510.0,3256.0,65535.0,431.0,699.0,713.0,2800.0,65535.0,25,,,25.0,,24,Saeed,No double yet,48.1839255168587,38.2988112206226,469,occ_ukraine,20,0.0,614556.0,386508.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.2989085704443,48.1838801253671]}"
000000000000000001fd_0,0,576.0,755.0,1094.0,1932.0,65535.0,584.0,782.0,1094.0,1816.0,65535.0,62,Burnt 300822,,62.0,,61,Saeed,No double yet,47.5510250188386,36.209923890657,474,occ_ukraine,20,0.0,465600.0,302352.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.20996620875276,47.55092717617649]}"
0000000000000000020a_0,0,383.0,652.0,499.0,2819.0,65535.0,353.0,618.0,423.0,2955.0,65535.0,319,Spring,,319.0,,318,Saeed,No double yet,48.17599564911,39.6764419691825,494,occ_ukraine,20,0.0,716232.0,396900.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.67656489016999,48.17588511933844]}"
00000000000000000211_0,0,587.0,761.0,1088.0,1902.0,65535.0,597.0,770.0,1114.0,1789.0,65535.0,388,Burnt 300822,,388.0,,387,Saeed,No double yet,47.5511487365389,36.2096172293319,506,occ_ukraine,20,0.0,465576.0,302364.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.20969671416753,47.551106839233306]}"
00000000000000000212_0,0,471.0,752.0,896.0,2816.0,65535.0,618.0,936.0,1090.0,3173.0,65535.0,39,,,39.0,,38,Saeed,No double yet,47.8912616529606,39.5073042595745,507,occ_ukraine,20,0.0,707472.0,363900.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.50741212217029,47.89120900580096]}"
00000000000000000219_0,0,501.0,752.0,1144.0,2467.0,65535.0,419.0,493.0,677.0,1327.0,65535.0,294,Burnt 090722,,294.0,,293,Saeed,No double yet,47.7815001659022,37.5649237817328,520,occ_ukraine,20,0.0,564540.0,336540.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.564984983318645,47.781434878081555]}"
0000000000000000022b_0,0,454.0,663.0,950.0,2045.0,65535.0,474.0,716.0,1051.0,2025.0,65535.0,212,,,212.0,,211,Saeed,No double yet,46.6935100916555,35.0510032583143,553,occ_ukraine,20,0.0,384768.0,200880.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.05104966071017,46.69339540595599]}"
00000000000000000045_0,0,314.0,545.0,473.0,4188.0,65535.0,415.0,649.0,586.0,4873.0,65535.0,314,Noise,,314.0,,313,Josef,Saeed,47.3171100808184,35.3449902380678,174,occ_ukraine,20,2.0,402564.0,271716.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.345068253202484,47.317005876191764]}"
00000000000000000119_0,0,490.0,696.0,983.0,1843.0,65535.0,520.0,721.0,1063.0,1769.0,65535.0,215,Unclear,,215.0,,214,Shabri,No double yet,46.5450272616985,34.8880917321988,67,occ_ukraine,20,2.0,373368.0,183588.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.8881850996993,46.54490388949103]}"
00000000000000000122_0,0,419.0,666.0,727.0,2984.0,65535.0,429.0,641.0,736.0,2759.0,65535.0,291,Fallow,,291.0,,290,Shabri,No double yet,48.0120430984686,39.3012771349739,89,occ_ukraine,20,2.0,690672.0,375504.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.30133859599327,48.01194257998662]}"
00000000000000000126_0,2,606.0,876.0,1322.0,2338.0,65535.0,785.0,1076.0,1444.0,2592.0,65535.0,481,Fallow - tilled 13/09/22,,481.0,,480,Josef,No double yet,46.8157194428435,36.1351970597974,94,occ_ukraine,21,2.0,466188.0,220152.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.13531620864243,46.81565611612466]}"
0000000000000000014b_0,0,484.0,660.0,873.0,1803.0,65535.0,529.0,724.0,988.0,1775.0,65535.0,478,fallow,,478.0,,477,Josef,No double yet,46.6032641097868,34.7489884643866,155,occ_ukraine,21,2.0,362376.0,189444.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.749036062189184,46.60320455143039]}"
0000000000000000015d_0,0,307.0,483.0,519.0,2434.0,65535.0,416.0,590.0,718.0,2419.0,65535.0,223,Unclear,,223.0,,222,Fangjie,No double yet,46.6095108532363,34.8714002018773,195,occ_ukraine,20,2.0,371664.0,190692.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.87147643541468,46.609402926890816]}"
00000000000000000162_0,0,336.0,652.0,496.0,3231.0,65535.0,384.0,663.0,579.0,3165.0,65535.0,283,Unclear,,283.0,,282,Fangjie,No double yet,48.7242055892856,38.8875407347374,203,occ_ukraine,20,2.0,651420.0,450960.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.88766440765623,48.724126937236576]}"
0000000000000000017c_0,0,509.0,772.0,704.0,3107.0,65535.0,677.0,1013.0,981.0,3054.0,65535.0,254,Unclear,,254.0,,253,Fangjie,No double yet,45.2302697453933,34.1776946658873,251,occ_ukraine,20,2.0,326688.0,34080.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.17779737301758,45.23021947118211]}"
000000000000000001a6_0,0,390.0,648.0,725.0,2292.0,65535.0,466.0,743.0,852.0,2488.0,65535.0,229,Unclear,,229.0,,228,Blake,No double yet,48.7619208765939,39.0464858047687,324,occ_ukraine,20,2.0,662556.0,456420.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.046576381416976,48.7618561791696]}"
000000000000000001d3_0,0,430.0,644.0,731.0,2386.0,65535.0,531.0,728.0,919.0,2049.0,65535.0,448,Unclear,,448.0,,447,Yuval,No double yet,47.1089695994962,32.9010148648816,399,occ_ukraine,21,2.0,219432.0,239184.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.901111691226916,47.108866224861266]}"
000000000000000001e1_0,0,556.0,814.0,1145.0,2029.0,65535.0,629.0,883.0,1245.0,1955.0,65535.0,485,Unclear,,485.0,,484,Yuval,No double yet,46.6269075734836,32.2565137703987,431,occ_ukraine,21,2.0,172188.0,183888.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[32.25657047487116,46.626830243402736]}"
000000000000000001e7_0,0,422.0,576.0,742.0,2298.0,65535.0,391.0,564.0,751.0,2048.0,65535.0,269,Fallow,,269.0,,268,Yuval,No double yet,45.2277195209596,34.1647602551672,437,occ_ukraine,20,2.0,325692.0,33744.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.16486163292626,45.22761435685817]}"
000000000000000001f1_0,0,566.0,773.0,1102.0,2135.0,65535.0,569.0,752.0,1065.0,2104.0,65535.0,542,Border,,542.0,,541,Yuval,No double yet,47.1906804980836,34.1323122591305,452,occ_ukraine,21,2.0,312036.0,252312.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.13243245116954,47.190612915716144]}"
000000000000000001fa_0,0,490.0,692.0,895.0,2135.0,65535.0,449.0,681.0,839.0,2259.0,65535.0,8,Fallow,,8.0,,7,Saeed,No double yet,49.2285293106734,37.9117071887393,467,occ_ukraine,20,2.0,574680.0,499476.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.91182451451719,49.22844113774128]}"
00000000000000000202_0,3,514.0,791.0,1123.0,2230.0,65535.0,992.0,1506.0,2218.0,3714.0,65535.0,551,Border,,551.0,,550,Saeed,No double yet,45.883178948278,34.1319613392101,483,occ_ukraine,21,2.0,319416.0,106644.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.132073125055896,45.88311501968018]}"
00000000000000000207_0,2,615.0,979.0,1507.0,2587.0,65535.0,745.0,1125.0,1689.0,2725.0,65535.0,534,Border,,534.0,,533,Saeed,No double yet,45.6884456369007,33.9133651675285,489,occ_ukraine,21,2.0,303576.0,84108.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.913423184901205,45.688360266083066]}"
00000000000000000215_0,2,780.0,1119.0,1635.0,3021.0,65535.0,763.0,1167.0,1716.0,2907.0,65535.0,498,Fallow,,498.0,,497,Saeed,No double yet,47.0293265114023,33.9334281507081,513,occ_ukraine,21,2.0,297900.0,233592.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.93354544726548,47.02927549068828]}"
00000000000000000026_0,3,457.0,617.0,904.0,1570.0,65535.0,974.0,1370.0,1942.0,3133.0,65535.0,422,Harvested 09/07/22,,422.0,09/07/22,421,Shabri,Saeed,45.3212301585097,35.8112272153601,31,occ_ukraine,21,1.0,453516.0,52044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.81129388566052,45.32112897793501]}"
00000000000000000027_0,2,1505.0,2205.0,3265.0,4938.0,65535.0,768.0,982.0,1376.0,1824.0,65535.0,497,"Harvested 12/07/22, Shelling",,497.0,12/07/22,496,Shabri,Saeed,46.8038062528543,35.9404274763093,59,occ_ukraine,21,1.0,451512.0,217728.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[35.940471623516906,46.80370852284587]}"
0000000000000000004e_0,2,1124.0,1675.0,2396.0,3934.0,65535.0,950.0,1415.0,2009.0,3038.0,65535.0,435,Harvested 03/07 - 07/07/22,,435.0,05/07/22,434,Josef,Saeed,46.8875265378347,34.3449095697362,169,occ_ukraine,21,1.0,329880.0,219384.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.344973847392225,46.88743150732581]}"
0000000000000000004f_0,3,498.0,771.0,1113.0,2471.0,65535.0,570.0,852.0,1251.0,2354.0,65535.0,433,Harvested 19/07-22/07/22,,433.0,20/07/22,432,Josef,Saeed,48.2048465061421,38.3584805373019,117,occ_ukraine,21,1.0,618720.0,389280.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.35855670530983,48.20481087148708]}"
0000000000000000006c_0,0,493.0,686.0,1020.0,1945.0,65535.0,515.0,704.0,960.0,1645.0,65535.0,3,Harvested 01/07-20/07/2022,,3.0,11/07/22,2,Fangjie,Saeed,47.4712164081323,36.5093147883528,217,occ_ukraine,20,1.0,488712.0,295236.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.5093746929498,47.47115677894667]}"
00000000000000000076_0,3,541.0,751.0,1139.0,1985.0,65535.0,664.0,924.0,1367.0,2250.0,65535.0,468,Harvested 04/07-29/07/2022,,468.0,17/07/22,467,Fangjie,Saeed,46.6172011291915,34.1561278319719,260,occ_ukraine,21,1.0,317100.0,188520.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.15623780619871,46.61712843833424]}"
0000000000000000009e_0,3,557.0,800.0,1159.0,2080.0,65535.0,667.0,940.0,1322.0,2155.0,65535.0,404,Harvested 180722-190722,,404.0,18/07/22,403,Blake,Saeed,46.2426320393507,34.2516920012641,301,occ_ukraine,21,1.0,326568.0,147168.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.251728720900616,46.2425309648564]}"
0000000000000000009f_0,0,574.0,769.0,1176.0,1830.0,65535.0,633.0,839.0,1273.0,1838.0,65535.0,420,Harvested 170722-290722,,420.0,23/07/22,419,Blake,Saeed,45.3202703172166,34.391840022213,295,occ_ukraine,21,1.0,342876.0,44988.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.391955736751676,45.320230662650886]}"
000000000000000000bc_0,0,495.0,723.0,923.0,2519.0,65535.0,558.0,765.0,991.0,2249.0,65535.0,194,Harvested 0906-120622,,194.0,10/06/22,193,Yuval,Saeed,46.9129996510151,36.2501403334635,456,occ_ukraine,20,1.0,474072.0,231636.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[36.25021073348132,46.9129436613948]}"
000000000000000000c6_0,1,695.0,969.0,1392.0,2158.0,65535.0,749.0,1100.0,1574.0,2481.0,65535.0,454,Harvested 160722,,454.0,16/07/22,453,Yuval,Saeed,46.0401446455808,34.4294266018743,404,occ_ukraine,21,1.0,341436.0,125340.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.42950531562787,46.040050699815865]}"
